fasta_id	protein_id	locus_id
CAJOBZ010000001.1	CAF4740945.1	PMACD_LOCUS1
CAJOBZ010000001.1	CAF4740955.1	PMACD_LOCUS2
CAJOBZ010000001.1	CAF4740968.1	PMACD_LOCUS3
CAJOBZ010000001.1	CAF4740984.1	PMACD_LOCUS4
CAJOBZ010000001.1	CAF4740998.1	PMACD_LOCUS4
CAJOBZ010000001.1	CAF4741021.1	PMACD_LOCUS5
CAJOBZ010000001.1	CAF4741011.1	PMACD_LOCUS5
CAJOBZ010000001.1	CAF4741033.1	PMACD_LOCUS5
CAJOBZ010000001.1	CAF4741046.1	PMACD_LOCUS6
CAJOBZ010000001.1	CAF4741059.1	PMACD_LOCUS7
CAJOBZ010000001.1	CAF4741070.1	PMACD_LOCUS8
CAJOBZ010000001.1	CAF4741084.1	PMACD_LOCUS9
CAJOBZ010000001.1	CAF4741096.1	PMACD_LOCUS9
CAJOBZ010000001.1	CAF4741105.1	PMACD_LOCUS9
CAJOBZ010000001.1	CAF4741115.1	PMACD_LOCUS10
CAJOBZ010000001.1	CAF4741120.1	PMACD_LOCUS10
CAJOBZ010000001.1	CAF4741128.1	PMACD_LOCUS11
CAJOBZ010000001.1	CAF4741139.1	PMACD_LOCUS12
CAJOBZ010000001.1	CAF4741149.1	PMACD_LOCUS13
CAJOBZ010000001.1	CAF4741158.1	PMACD_LOCUS14
CAJOBZ010000001.1	CAF4741169.1	PMACD_LOCUS14
CAJOBZ010000001.1	CAF4741179.1	PMACD_LOCUS15
CAJOBZ010000001.1	CAF4741192.1	PMACD_LOCUS16
CAJOBZ010000001.1	CAF4741216.1	PMACD_LOCUS17
CAJOBZ010000001.1	CAF4741202.1	PMACD_LOCUS17
CAJOBZ010000001.1	CAF4741227.1	PMACD_LOCUS18
CAJOBZ010000001.1	CAF4741238.1	PMACD_LOCUS19
CAJOBZ010000001.1	CAF4741249.1	PMACD_LOCUS19
CAJOBZ010000001.1	CAF4741263.1	PMACD_LOCUS20
CAJOBZ010000001.1	CAF4741280.1	PMACD_LOCUS20
CAJOBZ010000001.1	CAF4741272.1	PMACD_LOCUS20
CAJOBZ010000001.1	CAF4741294.1	PMACD_LOCUS21
CAJOBZ010000001.1	CAF4741309.1	PMACD_LOCUS22
CAJOBZ010000001.1	CAF4741321.1	PMACD_LOCUS23
CAJOBZ010000001.1	CAF4741332.1	PMACD_LOCUS24
CAJOBZ010000001.1	CAF4741342.1	PMACD_LOCUS25
CAJOBZ010000001.1	CAF4741354.1	PMACD_LOCUS26
CAJOBZ010000001.1	CAF4741365.1	PMACD_LOCUS27
CAJOBZ010000001.1	CAF4741378.1	PMACD_LOCUS28
CAJOBZ010000001.1	CAF4741391.1	PMACD_LOCUS29
CAJOBZ010000001.1	CAF4741402.1	PMACD_LOCUS30
CAJOBZ010000001.1	CAF4741414.1	PMACD_LOCUS31
CAJOBZ010000001.1	CAF4741425.1	PMACD_LOCUS32
CAJOBZ010000001.1	CAF4741433.1	PMACD_LOCUS33
CAJOBZ010000001.1	CAF4741449.1	PMACD_LOCUS34
CAJOBZ010000001.1	CAF4741459.1	PMACD_LOCUS35
CAJOBZ010000001.1	CAF4741471.1	PMACD_LOCUS36
CAJOBZ010000001.1	CAF4741482.1	PMACD_LOCUS37
CAJOBZ010000001.1	CAF4741492.1	PMACD_LOCUS38
CAJOBZ010000001.1	CAF4741502.1	PMACD_LOCUS39
CAJOBZ010000001.1	CAF4741515.1	PMACD_LOCUS40
CAJOBZ010000001.1	CAF4741528.1	PMACD_LOCUS41
CAJOBZ010000001.1	CAF4741538.1	PMACD_LOCUS42
CAJOBZ010000001.1	CAF4741550.1	PMACD_LOCUS43
CAJOBZ010000001.1	CAF4741561.1	PMACD_LOCUS44
CAJOBZ010000001.1	CAF4741567.1	PMACD_LOCUS45
CAJOBZ010000001.1	CAF4741583.1	PMACD_LOCUS46
CAJOBZ010000001.1	CAF4741597.1	PMACD_LOCUS47
CAJOBZ010000001.1	CAF4741608.1	PMACD_LOCUS48
CAJOBZ010000001.1	CAF4741613.1	PMACD_LOCUS49
CAJOBZ010000001.1	CAF4741625.1	PMACD_LOCUS50
CAJOBZ010000001.1	CAF4741636.1	PMACD_LOCUS51
